NORAD ID,Next Report,Latitude,Longitude,Debris Type,Decay Date
48599,2,5.5,118.8,PAYLOAD,2024-05-14 13:34:00
55566,0,15.1,113.9,ROCKET BODY,2024-05-15 12:17:00
58144,0,15.0,113.9,DEBRIS,2024-07-23 05:10:00
45704,0,16.2,118.9,PAYLOAD,2024-08-02 12:40:00
41461,0,19.8,115.9,PAYLOAD,2024-08-09 15:37:00
60990,0,21.3,113.6,PAYLOAD,2024-09-12 23:19:00
47557,0,9.2,114.4,PAYLOAD,2025-01-31 19:43:00
44496,2,5.0,124.2,ROCKET BODY,2025-02-12 14:55:00
57586,0,20.6,118.8,UNKNOWN,2025-03-09 15:11:00
53510,0,9.4,112.2,PAYLOAD,2025-04-13 18:26:00
15944,0,13.0,115.6,PAYLOAD,2025-05-30 12:44:00
